,Source (B)
12,"https://www.ted.com/talks/larry_brilliant_wants_to_stop_pandemics
"
26,"https://www.ted.com/talks/richard_dawkins_on_our_queer_universe
"
33,"https://www.ted.com/talks/iqbal_quadir_says_mobiles_fight_poverty
"
36,"https://www.ted.com/talks/ashraf_ghani_on_rebuilding_broken_states
"
53,"https://www.ted.com/talks/phil_borges_on_endangered_cultures
"
56,"https://www.ted.com/talks/steven_johnson_tours_the_ghost_map
"
64,"https://www.ted.com/talks/james_nachtwey_s_searing_pictures_of_war
"
90,"https://www.ted.com/talks/jeff_bezos_on_the_next_web_innovation
"
99,"https://www.ted.com/talks/natalie_macmaster_fiddles_in_reel_time
"
113,"https://www.ted.com/talks/thomas_barnett_draws_a_new_map_for_peace
"
139,"https://www.ted.com/talks/steven_pinker_on_the_myth_of_violence
"
143,"https://www.ted.com/talks/stephen_petranek_counts_down_to_armageddon
"
146,"https://www.ted.com/talks/kenichi_ebina_s_magic_moves
"
151,"https://www.ted.com/talks/vilayanur_ramachandran_on_your_mind
"
153,"https://www.ted.com/talks/sherwin_nuland_on_electroshock_therapy
"
157,"https://www.ted.com/talks/david_keith_s_surprising_ideas_on_climate_change
"
159,"https://www.ted.com/talks/larry_brilliant_makes_the_case_for_optimism
"
179,"https://www.ted.com/talks/david_pogue_on_the_music_wars
"
196,"https://www.ted.com/talks/craig_venter_is_on_the_verge_of_creating_synthetic_life
"
204,"https://www.ted.com/talks/christopher_decharms_scans_the_brain_in_real_time
"
208,"https://www.ted.com/talks/jakob_trollback_rethinks_the_music_video
"
221,"https://www.ted.com/talks/paul_ewald_asks_can_we_domesticate_germs
"
235,"https://www.ted.com/talks/george_dyson_at_the_birth_of_the_computer
"
236,"https://www.ted.com/talks/chris_jordan_pictures_some_shocking_stats
"
239,"https://www.ted.com/talks/adam_grosser_and_his_sustainable_fridge
"
245,"https://www.ted.com/talks/rick_smolan_tells_the_story_of_a_girl
"
254,"https://www.ted.com/talks/billy_graham_on_technology_faith_and_suffering
"
259,"https://www.ted.com/talks/chris_abani_muses_on_humanity
"
264,"https://www.ted.com/talks/kwabena_boahen_on_a_computer_that_works_like_the_brain
"
271,"https://www.ted.com/talks/ian_dunbar_on_dog_friendly_dog_training
"
282,"https://www.ted.com/talks/irwin_redlener_warns_of_nuclear_terrorism
"
287,"https://www.ted.com/talks/ann_cooper_talks_school_lunches
"
292,"https://www.ted.com/talks/philip_zimbardo_on_the_psychology_of_evil
"
300,"https://www.ted.com/talks/james_nachtwey_fights_xdrtb
"
308,"https://www.ted.com/talks/dean_ornish_on_healing
"
313,"https://www.ted.com/talks/jared_diamond_on_why_societies_collapse
"
316,"https://www.ted.com/talks/newton_aduaka_tells_the_story_of_ezra
"
329,"https://www.ted.com/talks/samantha_power_on_a_complicated_hero
"
336,"https://www.ted.com/talks/bill_joy_muses_on_what_s_next
"
339,"https://www.ted.com/talks/gregory_petsko_on_the_coming_neurological_epidemic
"
340,"https://www.ted.com/talks/richard_preston_on_the_giant_trees
"
346,"https://www.ted.com/talks/dennis_vanengelsdorp_a_plea_for_bees
"
348,"https://www.ted.com/talks/dan_gilbert_researches_happiness
"
375,"https://www.ted.com/talks/elizabeth_gilbert_on_genius
"
385,"https://www.ted.com/talks/capt_charles_moore_on_the_seas_of_plastic
"
390,"https://www.ted.com/talks/willie_smits_restores_a_rainforest
"
399,"https://www.ted.com/talks/dan_ariely_on_our_buggy_moral_code
"
412,"https://www.ted.com/talks/pw_singer_on_robots_of_war
"
429,"https://www.ted.com/talks/michael_merzenich_on_the_elastic_brain
"
431,"https://www.ted.com/talks/laurie_garrett_on_lessons_from_the_1918_flu
"
433,"https://www.ted.com/talks/sean_gourley_on_the_mathematics_of_war
"
450,"https://www.ted.com/talks/jonathan_drori_why_we_re_storing_billions_of_seeds
"
464,"https://www.ted.com/talks/ex_moonie_diane_benscoter_how_cults_think
"
475,"https://www.ted.com/talks/sophal_ear_escaping_the_khmer_rouge
"
476,"https://www.ted.com/talks/kary_mullis_next_gen_cure_for_killer_infections
"
480,"https://www.ted.com/talks/jim_fallon_exploring_the_mind_of_a_killer
"
485,"https://www.ted.com/talks/elaine_morgan_says_we_evolved_from_aquatic_apes
"
496,"https://www.ted.com/talks/josh_silver_demos_adjustable_liquid_filled_eyeglasses
"
502,"https://www.ted.com/talks/rebecca_saxe_how_brains_make_moral_judgments
"
511,"https://www.ted.com/talks/taryn_simon_photographs_secret_sites
"
518,"https://www.ted.com/talks/carolyn_steel_how_food_shapes_our_cities
"
520,"https://www.ted.com/talks/chimamanda_adichie_the_danger_of_a_single_story
"
527,"https://www.ted.com/talks/julian_treasure_the_4_ways_sound_affects_us
"
537,"https://www.ted.com/talks/stefana_broadbent_how_the_internet_enables_intimacy
"
538,"https://www.ted.com/talks/cameron_sinclair_the_refugees_of_boom_and_bust
"
539,"https://www.ted.com/talks/rachel_pike_the_science_behind_a_climate_headline
"
550,"https://www.ted.com/talks/mallika_sarabhai
"
556,"https://www.ted.com/talks/sunitha_krishnan_tedindia
"
561,"https://www.ted.com/talks/loretta_napoleoni_the_intricate_economics_of_terrorism
"
562,"https://www.ted.com/talks/ryan_lobo_through_the_lens_of_compassion
"
565,"https://www.ted.com/talks/james_geary_metaphorically_speaking
"
566,"https://www.ted.com/talks/shaffi_mather_a_new_way_to_fight_corruption
"
570,"https://www.ted.com/talks/vs_ramachandran_the_neurons_that_shaped_civilization
"
573,"https://www.ted.com/talks/romulus_whitaker_the_real_danger_lurking_in_the_water
"
575,"https://www.ted.com/talks/kartick_satyanarayan_how_we_rescued_the_dancing_bears
"
577,"https://www.ted.com/talks/lalitesh_katragadda_making_maps_to_fight_disaster_build_economies
"
584,"https://www.ted.com/talks/eve_ensler_embrace_your_inner_girl
"
585,"https://www.ted.com/talks/jane_chen_a_warm_embrace_that_saves_lives
"
590,"https://www.ted.com/talks/david_agus_a_new_strategy_in_the_war_on_cancer
"
592,"https://www.ted.com/talks/peter_eigen_how_to_expose_the_corrupt
"
614,"https://www.ted.com/talks/mark_roth_suspended_animation
"
615,"https://www.ted.com/talks/eric_dishman_take_health_care_off_the_mainframe
"
617,"https://www.ted.com/talks/ken_kamler_medical_miracle_on_everest
"
634,"https://www.ted.com/talks/michael_specter_the_danger_of_science_denial
"
635,"https://www.ted.com/talks/jonathan_klein_photos_that_changed_the_world
"
640,"https://www.ted.com/talks/frederick_balagadde_bio_lab_on_a_microchip
"
650,"https://www.ted.com/talks/jeremy_jackson
"
653,"https://www.ted.com/talks/nicholas_christakis_the_hidden_influence_of_social_networks
"
662,"https://www.ted.com/talks/craig_venter_unveils_synthetic_life
"
665,"https://www.ted.com/talks/sharmeen_obaid_chinoy_inside_a_school_for_suicide_bombers
"
666,"https://www.ted.com/talks/seth_berkley_hiv_and_flu_the_vaccine_strategy
"
680,"https://www.ted.com/talks/peter_tyack_the_intriguing_sound_of_marine_mammals
"
686,"https://www.ted.com/talks/aditi_shankardass_a_second_opinion_on_learning_disorders
"
690,"https://www.ted.com/talks/stephen_palumbi_following_the_mercury_trail
"
692,"https://www.ted.com/talks/mitchell_joachim_don_t_build_your_home_grow_it
"
695,"https://www.ted.com/talks/nalini_nadkarni_life_science_in_prison
"
697,"https://www.ted.com/talks/carl_safina_the_oil_spill_s_unseen_culprits_victims
"
699,"https://www.ted.com/talks/ethan_zuckerman
"
707,"https://www.ted.com/talks/susan_shaw_the_oil_spill_s_toxic_trade_off
"
731,"https://www.ted.com/talks/rob_dunbar
"
744,"https://www.ted.com/talks/inge_missmahl_brings_peace_to_the_minds_of_afghanistan
"
753,"https://www.ted.com/talks/peter_haas_haiti_s_disaster_of_engineering
"
764,"https://www.ted.com/talks/shimon_steinberg_natural_pest_control_using_bugs
"
769,"https://www.ted.com/talks/gero_miesenboeck
"
770,"https://www.ted.com/talks/andrew_bird_s_one_man_orchestra_of_the_imagination
"
772,"https://www.ted.com/talks/stefan_wolff_the_path_to_ending_ethnic_conflicts
"
773,"https://www.ted.com/talks/aaron_huey
"
782,"https://www.ted.com/talks/zainab_salbi
"
791,"https://www.ted.com/talks/tony_porter_a_call_to_men
"
805,"https://www.ted.com/talks/deborah_rhodes
"
812,"https://www.ted.com/talks/naomi_klein_addicted_to_risk
"
837,"https://www.ted.com/talks/noreena_hertz_how_to_use_experts_and_when_not_to
"
839,"https://www.ted.com/talks/elizabeth_lindsey_curating_humanity_s_heritage
"
862,"https://www.ted.com/talks/ralph_langner_cracking_stuxnet_a_21st_century_cyberweapon
"
878,"https://www.ted.com/talks/sam_richards_a_radical_experiment_in_empathy
"
879,"https://www.ted.com/talks/kathryn_schulz_on_being_wrong
"
889,"https://www.ted.com/talks/9_11_healing_the_mothers_who_found_forgiveness_friendship
"
899,"https://www.ted.com/talks/ed_boyden
"
901,"https://www.ted.com/talks/elliot_krane_the_mystery_of_chronic_pain
"
902,"https://www.ted.com/talks/edith_widder_the_weird_and_wonderful_world_of_bioluminescence
"
908,"https://www.ted.com/talks/robert_gupta_and_joshua_roman_duet_on_passacaglia
"
917,"https://www.ted.com/talks/alice_dreger_is_anatomy_destiny
"
918,"https://www.ted.com/talks/jd_schramm
"
928,"https://www.ted.com/talks/honor_harger_a_history_of_the_universe_in_sound
"
930,"https://www.ted.com/talks/emiliano_salinas_a_civil_response_to_violence
"
941,"https://www.ted.com/talks/tim_harford
"
943,"https://www.ted.com/talks/mikko_hypponen_fighting_viruses_defending_the_net
"
945,"https://www.ted.com/talks/kevin_slavin_how_algorithms_shape_our_world
"
947,"https://www.ted.com/talks/rory_stewart_time_to_end_the_war_in_afghanistan
"
956,"https://www.ted.com/talks/zimchallenge
"
969,"https://www.ted.com/talks/sarah_kaminsky
"
979,"https://www.ted.com/talks/amy_lockwood_selling_condoms_in_the_congo
"
980,"https://www.ted.com/talks/elizabeth_murchison
"
982,"https://www.ted.com/talks/abraham_verghese_a_doctor_s_touch
"
995,"https://www.ted.com/talks/pamela_meyer_how_to_spot_a_liar
"
999,"https://www.ted.com/talks/guy_philippe_goldstein_how_cyberattacks_threaten_real_world_peace
"
1003,"https://www.ted.com/talks/malcolm_gladwell
"
1013,"https://www.ted.com/talks/aparna_rao_high_tech_art_with_a_sense_of_humor
"
1027,"https://www.ted.com/talks/damon_horowitz_philosophy_in_prison
"
1028,"https://www.ted.com/talks/annie_murphy_paul_what_we_learn_before_we_re_born
"
1031,"https://www.ted.com/talks/kathryn_schulz_don_t_regret_regret
"
1033,"https://www.ted.com/talks/srdja_popovic_how_to_topple_a_dictator
"
1036,"https://www.ted.com/talks/yoav_medan_ultrasound_surgery_healing_without_cuts
"
1038,"https://www.ted.com/talks/monika_bulaj_the_hidden_light_of_afghanistan
"
1040,"https://www.ted.com/talks/pavan_sukhdev_what_s_the_price_of_nature
"
1055,"https://www.ted.com/talks/jonas_gahr_store_in_defense_of_dialogue
"
1057,"https://www.ted.com/talks/morley_sings_women_of_hope
"
1058,"https://www.ted.com/talks/sonaar_luthra_meet_the_water_canary
"
1060,"https://www.ted.com/talks/mikko_hypponen_three_types_of_online_attack
"
1067,"https://www.ted.com/talks/brian_goldman_doctors_make_mistakes_can_we_talk_about_that
"
1070,"https://www.ted.com/talks/peter_van_uhm_why_i_chose_a_gun
"
1077,"https://www.ted.com/talks/stephen_coleman_the_moral_dangers_of_non_lethal_weapons
"
1087,"https://www.ted.com/talks/garth_lenz_images_of_beauty_and_devastation
"
1091,"https://www.ted.com/talks/shlomo_benartzi_saving_more_tomorrow
"
1092,"https://www.ted.com/talks/tan_le_my_immigration_story
"
1098,"https://www.ted.com/talks/paul_gilding_the_earth_is_full
"
1109,"https://www.ted.com/talks/brene_brown_listening_to_shame
"
1116,"https://www.ted.com/talks/brene_brown_listening_to_shame
"
1119,"https://www.ted.com/talks/regina_dugan_from_mach_20_glider_to_humming_bird_drone
"
1126,"https://www.ted.com/talks/jack_choi_on_the_virtual_dissection_table
"
1135,"https://www.ted.com/talks/drew_curtis_how_i_beat_a_patent_troll
"
1136,"https://www.ted.com/talks/taryn_simon_the_stories_behind_the_bloodlines
"
1143,"https://www.ted.com/talks/joe_smith_how_to_use_a_paper_towel
"
1166,"https://www.ted.com/talks/shereen_el_feki_how_to_fight_an_epidemic_of_bad_laws
"
1173,"https://www.ted.com/talks/quixotic_fusion_dancing_with_light
"
